 ,Sentence,Chinese,Direct Chinese Translation from Hokkien,Sort of done romanization,,,,,,,,,,,,,,,,,,,,,
1,Hail the doctor,,___,gio i seing,,,,,,,,,,,,,,,,,,,,,
2,I have a headache,,___,ua thau tia,,,,,,,,,,,,,,,,,,,,,
3,Call for tissue,,___,ua ai dzua,,,,,,,,,,,,,,,,,,,,,
4,Hail the nurse,,___,gio mi si,,,,,,,,,,,,,,,,,,,,,
5,I want to sleep,,___,ua ai kun,,,,,,,,,,,,,,,,,,,,,
6,It is very hot,,____,bahng geing tsin dzua,,,,,,,,,,,,,,,,,,,,,
7,Call for additional pillow,,______,ua ai tsit ei dzim thau,,,,,,,,,,,,,,,,,,,,,
8,Lower the bed,,_____,ming tsuhng tsohng loh tahm po,,,,,,,,,,,,,,,,,,,,,
9,Draw the divider all the way,,_____,tahng ah boh gue tiau,,,,,,,,,,,,,,,,,,,,,
10,Call for medicine,,____,ua ai dzia ioq,,,,,,,,,,,,,,,,,,,,,
11,Bring the table further,,____,toh teing gia dzau,,,,,,,,,,,,,,,,,,,,,
12,I want to watch TV,,______,ua ai kua tian si gi,,,,,,,,,,,,,,,,,,,,,
13,Call for handkerchief,,_____,ua ai dzit tiau boh,,,,,,,,,,,,,,,,,,,,,
14,Raise the bed,,_____,ming tsuhng tsohng ki tahm po,,,,,,,,,,,,,,,,,,,,,
15,Call for additional blanket,,______,ua ai dzit tiao pue,,,,,,,,,,,,,,,,,,,,,
16,Call for shower,,____,ua ai tsahng tshui,,,,,,,,,,,,,,,,,,,,,
17,Bring the table nearer,,_____,toh teing tsohng gue lai,,,,,,,,,,,,,,,,,,,,,
18,Call granddaughter,,________,kah tian ue hoh ua ei tsah boh sun,,,,,,,,,,,,,,,,,,,,,
19,Do not disturb sign,,____,mai tsohng dzi,,,,,,,,,,,,,,,,,,,,,
20,Play music,,_____,ua ai teing eing ieit,,,,,,,,,,,,,,,,,,,,,
21,Call son,,________,kah tian ue hoh ua ei kia,,,,,,,,,,,,,,,,,,,,,
22,Dispense cold water,,_____,toh tsit bue leing tshui,,,,,,,,,,,,,,,,,,,,,
23,Draw the divider halfway,,______,tahng ah boh tua tsit pua,,,,,,,,,,,,,,,,,,,,,
24,Pause music,,___,teing eing gahk,,,,,,,,,,,,,,,,,,,,,
25,I want to watch a movie,,____,ua ai kua hi,,,,,,,,,,,,,,,,,,,,,
26,Call daughter,,________,kah tian ue hoh ua ei tsah boh kia,,,,,,,,,,,,,,,,,,,,,
27,Draw back the divider halfway,,______,tahng ah boh kui tsit pua,,,,,,,,,,,,,,,,,,,,,
28,Skip track,,__,ua gua,,,,,,,,,,,,,,,,,,,,,
29,Dispense hot water,,_____,tau tsit bue sio tshui,,,,,,,,,,,,,,,,,,,,,
30,Call father,,________,kah tian ue hoh ua ei lau pei,,,,,,,,,,,,,,,,,,,,,
31,Report an annoying neighbour,,_______,ua bi thau ei lahng tsin tsah,,,,,,,,,,,,,,,,,,,,,
32,Report light malfunction,,_____,u ming gia pai liau,,,,,,,,,,,,,,,,,,,,,
33,It is very stuffy,,_____,pahng geing tsin hip,,,,,,,,,,,,,,,,,,,,,
34,It is very dark,,____,pahng geing tsin ahm,,,,,,,,,,,,,,,,,,,,,
35,there's no more water,,_____,pahng geing boh tshui liau,,,,,,,,,,,,,,,,,,,,,
36,I'm very bored,,___,ua tsin sian ah,,,,,,,,,,,,,,,,,,,,,
37,When is my next consultation,,_______,ua ti si ai kua i seing,,,,,,,,,,,,,,,,,,,,,
38,Call grandson,,________,kah tian ue hoh ua ei sun,,,,,,,,,,,,,,,,,,,,,
39,The aircon is too cold,,___,ua tsin leing,,,,,,,,,,,,,,,,,,,,,
40,When will I be discharged,,_______,ua ti si ei sai teng tshu,,,,,,,,,,,,,,,,,,,,,
41,When can I eat?,,______,ua ti si ei sai dzia,,,,,,,,,,,,,,,,,,,,,
42,When do I have to take my medication?,,________,ua si mi si hau ai dzia ioq,,,,,,,,,,,,,,,,,,,,,
43,I'm hungry,,__,ua iau,,,,,,,,,,,,,,,,,,,,,
44,Remind me to eat my medicine,,________,si gahng gau liau gio ua dzia ioq,,,,,,,,,,,,,,,,,,,,,
45,I want to switch ward,,_____,ua ai ua pahng geing,,,,,,,,,,,,,,,,,,,,,
46,I want to get up,,____,ua ai khi lai,,,,,,,,,,,,,,,,,,,,,
47,Call mother,,________,kah tian ue hoh ua ei lau bu,,,,,,,,,,,,,,,,,,,,,
48,I don't want to see anybody,,_____,ua mai gi lahng,,,,,,,,,,,,,,,,,,,,,
49,It is very noisy outside,,____,gua kau tsin tsah,,,,,,,,,,,,,,,,,,,,,
50,Draw back the divider all the way,,______,tahng ah boh kui gau uan,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
