 ,Sentence,Chinese,Sort of done romanization,,,,,,Direct Chinese Translation from Hokkien,,,,,,,,,,,,,,,,,
1,"He only slept for 3 hours last night, hence he is very tired today.",____________________,gua tsah mei bah lu kun liau sah tiam dzeing _soh i gin lit tsin dzia sian _,Done,,,,,_________________,,,,,,,,,,,,,,,,,
2,It was unexpected that there are so many people here today.,____________,gua bo siung kau gin lit ei lai ah ni tsue lahng _,Done,,,ua bo sio dio geh djit ah neh dzio nang,,_____________,,,,,,,,,,,,,,,,,
3,"I woke up at 5 in the morning, hence I am very tired right now.",_________________,gua gin lit dzah khiq goh tiam tiu khi lai _soh i dzit dzun tsin ai kun _,Done,,,"ua meh dza ngoh tiam ki lah, sor i ji jung jing ai uk",,__________________,,,,,,,,,,,,,,,,,
4,You made so many dishes in half an hour.,____________,le pua tiam dzeing dzo ah ni tsue giam ah _,Done,,,le buah diam zeng dzi ah neh dzoi cai,,______________,,,,,,,,,,,,,,,,,
5,"My key is buried in the sand, and I can't find it no matter how hard I try.",__________________,gua ei so si tai ti shua lai min _ahn dzua bun tsue bei tio _,Done,,,,,_________________,,,,,,,,,,,,,,,,,
6,You finished the task so quickly.,____________,le ah ni kah gin tiu dzo uan kahng kei liau _,Done,,,le ah neh meh dzu dzo ho liau,,___________,,,,,,,,,,,,,,,,,
7,"I don't wish to hear what you have to say, please stop.",______________,le gohng ei ue gua mai tia _mai gohng liau _,Done,,,"ua mai tiah, mai dah liau",,_____________,,,,,,,,,,,,,,,,,
8,"Stop drinking, you are going to get drunk.",_____________,le mai lim tsiu liau _goh lim tiu dzui liau _,Done,,,"mai jia jiu liau, ai ",,____________,,,,,,,,,,,,,,,,,
9,You walk really slowly.,______,le gia gah tsin bahn _,Done,,,leh giah lou djin mang,,______,,,,,,,,,,,,,,,,,
10,"It is one minute to lesson, I am going to be late.",________________,guh u it hun dzeing tiu ai tsiong koh _gua ai tsi to liau _,Done,,,,,________________,,,,,,,,,,,,,,,,,
11,"I am so tired that I'm going to die, but you still haven't come to help me!",______________,gua dzo gah ai si _le ge mai lai tau kah tsiu _,Done,,,,,_____________,,,,,,,,,,,,,,,,,
12,"She is a very brave girl, who dares to perform in front of so many people",______________________,i si tsit ei tsin tua tah ei tsah boh kia _gah ti ah ni tsue lahng min dzeing biau ian _,Done,,,"eh dah jing dua, ",,______________________,,,,,,,,,,,,,,,,,
13,"Oh no, I lost my keys!",_______________,so si pah m ki liau _tsin tsia laht _,Done,,,ua sor si um giang liau,,___________,,,,,,,,,,,,,,,,,
14,"I have been to many places, but I still haven't been able to find that book.",_________________,gua ki gue tsin tsue soh tsai _tio si bue bei tio hiq bun tsei _,Done,,,ua ki gue jing dzoi di hng buk gue hua si dzue bue dio hi bng po,,_________________,,,,,,,,,,,,,,,,,
15,I forgot about this big event!,_________,gua bue ki tsi tiau tua si liau ,Done,,,ua mn gi tek ji gai dua si,,_______,,,,,,,,,,,,,,,,,
16,I hope you say it quickly and not let me worry.,_______________,gua hi bahng le kah gin gohng tshut lai _mai hoh gua gahn tshiong _,Done,,,"le meh dah, mai kor ua huang lor",,_______________,,,,,,,,,,,,,,,,,
17,We bought too many bananas. They are going to rot if not eaten soon.,_______________,gim tsio bue gah tsue liau _tsiaq bei liau ei nua ei _,Done,,,"ng nang bue ka dzue gng djio, mai meh dzia dzu pai ke",,______________,,,,,,,,,,,,,,,,,
18,"This model of camera is cheap and good, hence it is slling out quickly.",________________,tsi kuan hiq siong gi iu pi iu ho _tsin gin tio bue liau _,Done,,,,,_________________,,,,,,,,,,,,,,,,,
19,Is he your brother? He resembles you.,____________,i tsin siang le _i si le sio ti ah _,Done,,,"e ka si le ah ti, jing jiang le",,____________,,,,,,,,,,,,,,,,,
20,3 plus 5 equals 8,_______,sah gei goh teing u pue _,Done,,,sah gah ngoh si bue,,_______,,,,,,,,,,,,,,,,,
21,She hasn't changed much other than becoming slightly chubbier.,_________________,i bo bian tio _dzi si bi gu dzah bui tahm po _,Done,,,"eh bo si mi biang, jia si dam bo io bui",,______________,,,,,,,,,,,,,,,,,
22,I don't know which country he is from.,________________,gua m tsai ia i si to lo tsit ei gohk gah lai ei lau hahq seing _,Done,,,,,_________________,,,,,,,,,,,,,,,,,
23,"He treats you so well, is he your boyfriend?",________________,i tui le ah ni ho _i si m si le ei tah boh peing u _,Done,,,"e dui le jin hor, ka si da bo peng iu?",,_________________,,,,,,,,,,,,,,,,,
24,The child is 13 years old.,__________,tsi ei gin nah gin ni tsahp sah hue _,Done,,,ji gai nou gia dzap sah huey,,__________,,,,,,,,,,,,,,,,,
25,I have never heard him speak Chinese before. Maybe he can't?,___________________,gua tsiong lai bo tia gue i gohng hua u _ko lian i bei hiauq gohng ah _,Done,,,"ua bo tia gue e dah hua gi, ko leng bue hiou",,___________________,,,,,,,,,,,,,,,,,
26,"I can't hear the television clearly, can you turn up the volume?",___________________,tian si ei sia im gua tia bei tseing tsho _kui tua sia tahm po ho bo _,Done,,,"diang si tiah bo, kui dua siah",,___________________,,,,,,,,,,,,,,,,,
27,"The sky is dark, looks like it is going to rain soon.",______________,"ti seiq ah ni oh , in gai si ai loh hoh liau bah _",Done,,,"ti oh, ai loh hoh",,______________,,,,,,,,,,,,,,,,,
28,They ranked 8th in this soccer match.,________________,in nahng tei tio tseiq bai ti giu bi sai ei tei  pue mia _,Done,,,,,_______________,,,,,,,,,,,,,,,,,
29,I am afraid there are no more public buses since it is so late.,______________,ah ni ua liau _kia bo tsia tah liau _,Done,,,ah neh ua liau bo tsia,,_____________,,,,,,,,,,,,,,,,,
30,"Hurry, or we are going to miss the plane.",______________,kah gin gia _bo tahn tsei bei tio bue gi ,Done,,,"meh meh, pue gi ai zao liau",,____________,,,,,,,,,,,,,,,,,
31,"I heard that restaurant has nice dishes, let's eat there.",_________________,tsi geing cai gun ei tsai bue pai _lah nahng ki hiq tau  tsiaq ,Done,,,,,_______________,,,,,,,,,,,,,,,,,
32,This lady is really pretty.,_________,tsi ei tsah boh kia tsin sui ,Done,,,,,_______,,,,,,,,,,,,,,,,,
33,I suggest going to that restaurant.,_________,gua su gah ki tsi geing ei cai gun _,Done,,,,,__________,,,,,,,,,,,,,,,,,
34,"Now that we have encountered problems, we have to think of solutions.",_________________,dzit dzun mah huan ei tai dzi lai liau _gua nahng tiu ai siung bahn huat gah ei sai _,Done,,,,,_____________________,,,,,,,,,,,,,,,,,
35,"I am free tonight, let's catch a movie.",________________,gin lit ahm mei bo tai dzi _gua nahng ki kuah hi _,Done,,,,,_______________,,,,,,,,,,,,,,,,,
36,Time flies.,________,si gahn gue liau tsin gin _,Done,,,,,_______,,,,,,,,,,,,,,,,,
37,I would like to borrow this book.,______________,gua ai kuah le tsi bun tsei _le tsio gua ei sai bei _,Done,,,,,_______________,,,,,,,,,,,,,,,,,
38,I haven't seen my parents in a year. How I miss them.,___________________,it ni bue kuah tio gua ei pei bu _gua siung ai ki kuah i ,Done,,,,,________________,,,,,,,,,,,,,,,,,
39,I want to buy some things. Come along with me!,_______________,gua siung ai ki bue ming gia _ gah gua tso tsi ei ki _,Done,,,,,________ ______,,,,,,,,,,,,,,,,,
40,You must come! Don't say you don't have time.,_____________,le mai gohng bo si gahn _tia tio ai lai _,Done,,,,,____________,,,,,,,,,,,,,,,,,
41,I know how to play tennis. I can teach you if you want to learn.,________________,gua ei hiau pah giu _le ai o gua gah le _,Done,,,,,_____________,,,,,,,,,,,,,,,,,
42,Don't forget to write to me!,______________,le mai bue ki _tia tio ai hoh gua sia pue ah _,Done,,,,,______________,,,,,,,,,,,,,,,,,
43,"This is a really important matter, don't mess up!",________________,tsei ei tai dzi tsin tiong iau _le ai gah i dzo ho ah _,Done,,,,,_______________,,,,,,,,,,,,,,,,,
44,You have to tell your parents when you plan to get married.,_________________,le si mi si au geiq hun bue sai mai gah pei bu gohng ,Done,,,,,______________,,,,,,,,,,,,,,,,,
45,This is a really nice shirt.,_________,tsit nia sah tsin ho kuah ,Done,,,,,_______,,,,,,,,,,,,,,,,,
46,I hope you come.,_______,gua tsin ai le lai _,Done,,,,,_______,,,,,,,,,,,,,,,,,
47,Ah? What did you say?,_______,ah _le gohng si mi _,Done,,,,,_______,,,,,,,,,,,,,,,,,
48,Can you repeat yourself? I didn't hear clearly.,______________,gua bue tia tseing tsho _le gah gohng tsit pai _,Done,,,,,____________,,,,,,,,,,,,,,,,,
49,"We have a new task on hand, let's see how we can handle it.",________________,dzit dzun lai liau sin kahng kei _gua nahng seing kuah ahn dzua kuah _,Done,,,,,________________,,,,,,,,,,,,,,,,,
50,What's your name?,_______,le gio si mi mia _,Done,,,,,______,,,,,,,,,,,,,,,,,
51,What did you take away? Ah? What?,_____________,le gia si mi ming gia tsau _ah _si mi _,Done,,,,,_____________,,,,,,,,,,,,,,,,,
52,The child burst into tears when she couldn't find her mother.,_______________,gin nah tsue bei tio lau bu _kai si tua khau khi lai _,Done,,,,,_______________,,,,,,,,,,,,,,,,,
53,"Knife in hand, he prepard to cut the cake.",_______________,i ei tsiu gia it bah to _ai tsue neng go _,Done,,,,,_____________,,,,,,,,,,,,,,,,,
54,Has he really left? I am shocked.,____________,i tsin ei gia liau ah _gua tsin kia _,Done,,,,,___________,,,,,,,,,,,,,,,,,
55,"I have two umbrellas, I can lend you one.",_____________,gua u neng ei hoh sua _hoh le tsit lei _,Done,,,,,____________,,,,,,,,,,,,,,,,,
56,I am headed to the airport to receive a few friends from my hometown.,_________________,gua ai ki pue gi tiu tsai gui ei hiu ei lau peing u _,Done,,,,,______________,,,,,,,,,,,,,,,,,
57,Please move that chair over here.,__________,hiq ei gau i bua lai ,Done,,,,,______,,,,,,,,,,,,,,,,,
58,Ah? That 3 year old child drew thsis beautiful painting?,___________________,ah _tsi ei tsin sui ei ue si hiq lei sah hue giah ue ei _,Done,,,,,___________________,,,,,,,,,,,,,,,,,
59,He isn't Chinese? How is his chinese so fluent?,____________________,i tiu m si tioong gohk lahng _ahn dzua gohng hua u gohng kau ah ni ho _,Done,,,,,___________________,,,,,,,,,,,,,,,,,
60,"I have tried all the keys, but none of them unlock this lock.",__________________________,gua gia long tsong ei so si tsit tsia tsit tsia ei kui it pai _ge si bue sai kui hiq lei so _,Done,,,,,________________________,,,,,,,,,,,,,,,,,
61,"He fell sick, so he didn't attent the lesson.",___________,i bo lai tsio kue ing ue i pua bi liau _,Done,,,,,___________,,,,,,,,,,,,,,,,,
62,This was caught by hand.,__________,tsi si iong tsiu lia tio ei ming gia _,Done,,,,,__________,,,,,,,,,,,,,,,,,
63,I already know why he is absent.,_______________,i bo lai tsio kue ei uan eing gua i geing tsai ia liau _,Done,,,,,_______________,,,,,,,,,,,,,,,,,
64,Science is the foundation for progress in society.,________________,kue hiat ei tsim bo si lahng lei sia ue huaq tiong ei gei tshoh _,Done,,,,,________________,,,,,,,,,,,,,,,,,
65,"Ah, I know why he is happy now.",_____________,ah _gua tsai ia i ue si mi hua hi liau _,Done,,,,,_____________,,,,,,,,,,,,,,,,,
66,We should point out their mistakes.,____________,lah nahng  i33 dz ei24 ng gah i gohng i tsoh ti to lo ,Done,,,,,____________,,,,,,,,,,,,,,,,,
67,"Ah, I understand what this word means now.",____________,ah _tsi ei dzi ei i si gua tsai ia liau _,Done,,,,,____________,,,,,,,,,,,,,,,,,
68,I grabbed two handfuls of peanuts for him to eat.,____________,gua meh neng tua bah toh tau hoh i tsiaq _,Done,,,,,___________,,,,,,,,,,,,,,,,,
69,"Ah, I understand what is going on now.",______________,ah _gua ming beiq liau _tsi si si mi tai dzi_,Done,,,,,_____________,,,,,,,,,,,,,,,,,
70,There is not enough rice left to cook.,______________,tsun tahm po bi _tse buhng bue gau lah _,Done,,,,,___________,,,,,,,,,,,,,,,,,
71,"His tone is very firm, so it will not be changed.",____________________,i gohng ue ei kau ki hui siong keing deing _i si bei ei gai bian ei _,Done,,,,,___________________,,,,,,,,,,,,,,,,,
72,"Don't leave the door open, close it.",___________,mai kui tiau muhng _muhng gah i gue tiau ,Done,,,,,_______________,,,,,,,,,,,,,,,,,
73,"He is 20 years old already, and is an adult.",____________,i i geing ti tsahp hue _si tsit lei tua lahng liau ,Done,,,,,_____________,,,,,,,,,,,,,,,,,
74,I removed the books from my school bag.,____________,gua tsiong tsei bau lai bin ei tsei gia tshut lai liau ,Done,,,,,____________,,,,,,,,,,,,,,,,,
75,"Ah, this song is really nice.",_________,ah _tsi siu gua tsin ho tia _,Done,,,,,_________,,,,,,,,,,,,,,,,,
76,I finished that magazine a long time ago.,____________,gua tsah tiu tsiong hiq bun tsah gi kuah uan liau _,Done,,,,,____________,,,,,,,,,,,,,,,,,
77,He is very familiar with this place. He must have been here before.,_______________,i tui tsit tau tsin seik _tia tio lai gue tsit tau _,Done,,,,,_______________,,,,,,,,,,,,,,,,,
78,How can you say that his things are yours?,________________,le ahn dzua ei sai bah i ei ming gia gohng liau si kah ki ei_,Done,,,,,,,,,,,,,,,,,,,,,,
79,I have a flu today and a slight cough.,_____________,ua gin lit gahm moh liau _u tiam _kah sau _,Done,,,,,,,,,,,,,,,,,,,,,,
80,He has yet to return my bicycle to me.,_____________,i ah bue heing ua ua ei kah tsia _,Done,heing,,,,,,,,,,,,,,,,,,,,,
81,"This place is beautiful, I am pleased.",_____________,tsin dzia sui _ua kah tiq tsin dzia ho liau _,Done,,,,,,,,,,,,,,,,,,,,,,
82,I suggest you don't put this clothing in the washing machine. It would be destroyed.,_____________________,tsit lei sah le siang ho mai bahng sue sah gi sue _ei sue pai ei ,Done,,,,,,,,,,,,,,,,,,,,,,
83,"This child is my son, I am his dad.",________________,tsi lei si ua ei giah _ua si i lau pei _,Done,,,,,,,,,,,,,,,,,,,,,,
84,Young people are after sweet love.,___________,siau lian ei si lahng ai __ei ai tseing _,,,,,,,,,,,,,,,,,,,,,,,
85,He stopped coughing after taking his medicine.,____________,tsiaq io tiu bue kah sau liau _,Done,,,,,,,,,,,,,,,,,,,,,,
86,My parents have been married for 50 years.,_______________,ua ei lau pei lau bu i geing geiq hun goh tsahp ni liau _,Done,,,,,,,,,,,,,,,,,,,,,,
87,His love story with his wife moved many people.,________________,i gah i boh ei ai tseing goh suh gahm tohng liau tsin tsue lahng _,Done,,,,,_________________,,,,,,,,,,,,,,,,,
88,He reminded his father to take care.,_____________,i tui i lau pei gohng ai gah dzu i seiing khu _,Done,,,,,_____________,,,,,,,,,,,,,,,,,
89,He has a deep love for his wife.,___________,i tio i ei boh u tsin tsim ei gahm dzeing _,Done,,,,,_____________,,,,,,,,,,,,,,,,,
90,My father cares a lot for his family members.,_____________,gua ei lau pei tui tsu lai ei lahng tsin tsia gim sim _,Done,,,,,______________,,,,,,,,,,,,,,,,,
91,This paper is very white.,______,tsi tiu dzua tsin pei _,Done,,,,,______,,,,,,,,,,,,,,,,,
92,"She only lived for 30 years, its a pity she's dead.",_______________,i bah lu ua kau sah tsahp hue _si gah tsin ko sio _,Done,,,,,______________,,,,,,,,,,,,,,,,,
93,It's a pity he didn't get first place.,____________,i bue gia tio guan gun _tai ko sio liau _,Done,,,,,____________,,,,,,,,,,,,,,,,,
94,"Her love for her husband runs deep, and she has never thought about leaving him.",___________________,i tui i ahng ai gah tsin tsim _tsiong lai bo siu gue li kui i _,Done,,,,,___________________,,,,,,,,,,,,,,,,,
95,White shirts get dirtied easily.,_________,pei sah tsin gue tsong lah sahm _,Done,,,,,__________,,,,,,,,,,,,,,,,,
96,She loves her children a lot.,_________,i tai ai i ei giah liau _,Done,,,,,_________,,,,,,,,,,,,,,,,,
97,"She wasn't feeling well, and her face was white as a sheet.",_______________,i sim te bei su hohq _bin pei gah siang it tiu dzua _,Done,,,,,_______________,,,,,,,,,,,,,,,,,
98,I love my hometown very much.,___________,i tsim tsim ei ai tiau gua ei goh hiong _,Done,,,,,___________,,,,,,,,,,,,,,,,,
99,The walls of this house are white and clean.,______________,tsi geing tshu ei piaq pei pei_tsin tseing khi _,Done,,,,,_____________,,,,,,,,,,,,,,,,,
100,"He loves his mother, who painstakingly brought him up, the most.",______________________,i tsit si lahng siang ai ei lahng si sin sin koh koh tsiong i tsi tua hahn ei lau bu _,Done,,,,,______________________,,,,,,,,,,,,,,,,,
101,"After a night of snowing, everytihng was covered in snow the next morning.",________________,lo liau it mei ei sue _dzah khiq long tsong bian pei liau _,Done,,,,,_______________,,,,,,,,,,,,,,,,,
102,"I enjoy sports, and I play basketball every week.",_______________,gua ai un tong _tahq ei lei bai ki pah giu _,Done,,,,,_____________,,,,,,,,,,,,,,,,,
103,She didn't take a single thing I said to heart.,_________________,gua gah i gohng ei ue pei gohng liau _i it gu mah bo tia _,Done,,,,,_________________,,,,,,,,,,,,,,,,,
104,"She enjoys travelling, and she travels whenerver she has the time.",_______________,gua ai le heing _it u si gahn tiu siung ki le heing _,Done,,,,,_______________,,,,,,,,,,,,,,,,,
105,My words had no impact at all.,____________,gua ei ue dzi diam ah dzo iong ia bo _,Done,,,,,___________,,,,,,,,,,,,,,,,,
106,"She enjoys watching television, and watches at least 3 to 4 hours of television daily.",____________________,i tsin ai kuah tian si _tahq lit siang tsio ai kuah sah si tiam dzeing _,Done,,,,,__________________,,,,,,,,,,,,,,,,,
107,"I did a day's work in vain, as the boss wants me to redo.",__________________,gua tsi lit ei kahng kei pei dzo liau _tau gei gohng ai bah leiq dzo _,Done,,,,,_________________,,,,,,,,,,,,,,,,,
