1,"He only slept for 3 hours last night, hence he is very tired today.",他昨天晚上只睡了三个小时，所以今天很困。,gua tsah mei bah lu kun liau sah tiam dzeing ，soh i gin lit tsin dzia sian 。,Done,,,,,我昨晚只睡了三点钟，所以今天很累。
2,It was unexpected that there are so many people here today.,没想到今天来了这么多人。,gua bo siung kau gin lit ei lai ah ni tsue lahng 。,Done,,,ua bo sio dio geh djit ah neh dzio nang,,我没想到今天会来那么多人。
3,"I woke up at 5 in the morning, hence I am very tired right now.",我早上五点就起床了，现在有点儿困。,gua gin lit dzah khiq goh tiam tiu khi lai ，soh i dzit dzun tsin ai kun 。,Done,,,"ua meh dza ngoh tiam ki lah, sor i ji jung jing ai uk",,我今天早上五点就起来，所以现在很困。
4,You made so many dishes in half an hour.,你半个小时做了这么多菜！,le pua tiam dzeing dzo ah ni tsue giam ah ！,Done,,,le buah diam zeng dzi ah neh dzoi cai,,你半点钟做那么多菜（肴）啊！
5,"My key is buried in the sand, and I can't find it no matter how hard I try.",沙子埋住了我的钥匙，怎么找也找不到。,gua ei so si tai ti shua lai min ，ahn dzua bun tsue bei tio 。,Done,,,,,我的钥匙埋在沙里面，怎样都找不到。
6,You finished the task so quickly.,你这么快就把工作做完了。,le ah ni kah gin tiu dzo uan kahng kei liau 。,Done,,,le ah neh meh dzu dzo ho liau,,你那么快就做完工作了。
7,"I don't wish to hear what you have to say, please stop.",你说的话我不想听，别再说了。,le gohng ei ue gua mai tia ，mai gohng liau 。,Done,,,"ua mai tiah, mai dah liau",,你说的话我不想听，别说了。
8,"Stop drinking, you are going to get drunk.",你别再喝酒了，再喝就醉了。,le mai lim tsiu liau ，goh lim tiu dzui liau 。,Done,,,"mai jia jiu liau, ai ",,你别喝酒了，再喝就醉了。
9,You walk really slowly.,你走得很慢！,le gia gah tsin bahn ！,Done,,,leh giah lou djin mang,,你走得很慢！
10,"It is one minute to lesson, I am going to be late.",还有一分钟就上课了，我要迟到了！,guh u it hun dzeing tiu ai tsiong koh ，gua ai tsi to liau ！,Done,,,,,还有一分钟就要上课，我要迟到了！
11,"I am so tired that I'm going to die, but you still haven't come to help me!",我都快累死了，你还不来帮我！,gua dzo gah ai si ，le ge mai lai tau kah tsiu ！,Done,,,,,我做得要死，你还不要来帮！
12,"She is a very brave girl, who dares to perform in front of so many people",她是个很大胆的小姑娘，敢在这么多人面前表演。,i si tsit ei tsin tua tah ei tsah boh kia ，gah ti ah ni tsue lahng min dzeing biau ian 。,Done,,,"eh dah jing dua, ",,她是个很大胆的小姑娘，敢在这么多人面前表演。
13,"Oh no, I lost my keys!",我发现钥匙不见了，这可真糟糕。,so si pah m ki liau ，tsin tsia laht 。,Done,,,ua sor si um giang liau,,钥匙放不见了，真糟糕。
14,"I have been to many places, but I still haven't been able to find that book.",我去了很多地方，就是买不到那本书。,gua ki gue tsin tsue soh tsai ，tio si bue bei tio hiq bun tsei 。,Done,,,ua ki gue jing dzoi di hng buk gue hua si dzue bue dio hi bng po,,我去过很多地方，就是买不到那本书。
15,I forgot about this big event!,我把这件大事忘了！,gua bue ki tsi tiau tua si liau ,Done,,,ua mn gi tek ji gai dua si,,我忘这条大事了
16,I hope you say it quickly and not let me worry.,我希望你快说出来，别让我着急。,gua hi bahng le kah gin gohng tshut lai ，mai hoh gua gahn tshiong 。,Done,,,"le meh dah, mai kor ua huang lor",,我希望你快说出来，别让我着急。
17,We bought too many bananas. They are going to rot if not eaten soon.,香蕉买得太多了，吃不完会烂的。,gim tsio bue gah tsue liau ，tsiaq bei liau ei nua ei 。,Done,,,"ng nang bue ka dzue gng djio, mai meh dzia dzu pai ke",,香蕉买得多了，吃不了会烂的。
18,"This model of camera is cheap and good, hence it is slling out quickly.",这种照相机又便宜又好，卖得很快。,tsi kuan hiq siong gi iu pi iu ho ，tsin gin tio bue liau 。,Done,,,,,这种照相机又便宜又好，很快就卖了。
19,Is he your brother? He resembles you.,他很像你，他是你弟弟吧？,i tsin siang le ，i si le sio ti ah ？,Done,,,"e ka si le ah ti, jing jiang le",,他真像你，他是你弟弟啊？
20,3 plus 5 equals 8,三加五等于八。,sah gei goh teing u pue 。,Done,,,sah gah ngoh si bue,,三加五等于八。
21,She hasn't changed much other than becoming slightly chubbier.,她变化不大，只是比以前胖了一点点。,i bo bian tio ，dzi si bi gu dzah bui tahm po 。,Done,,,"eh bo si mi biang, jia si dam bo io bui",,她不变到，只是比以前胖一点。
22,I don't know which country he is from.,我不知道他是从哪个国家来的学生。,gua m tsai ia i si to lo tsit ei gohk gah lai ei lau hahq seing 。,Done,,,,,我不知道他是哪一个国家来的老学生。
