,Smart Home Appliances,Chinese,Direct Chinese Translation from Hokkien,Romanization,Speaker,Gender,,,,,,,,,,,,,,,,,,,
1,Switch on the light v1,__,__,kui hue ,1,M,,,,,,,,,,,,,,,,,,,
2,Swtich on the light v2,__,__,kui teing ,1,M,,,,,,,,,,,,,,,,,,,
3,Switch off the light v1,__,__,gim hue ,1,M,,,,,,,,,,,,,,,,,,,
4,Switch off the light v2,__,__,gim teing ,1,M,,,,,,,,,,,,,,,,,,,
5,Dim the lights v1,_______,____,teing gim gah sue ,1,M,,,,,,,,,,,,,,,,,,,
6,Dim the lights v2,_______,____,hue gim gah sue ,1,M,,,,,,,,,,,,,,,,,,,
7,Brighten the lights v1,_______,____,teing kui gah tua ,1,M,,,,,,,,,,,,,,,,,,,
8,Brighten the lights v2,_______,____,hue kui gah tua ,1,M,,,,,,,,,,,,,,,,,,,
9,Turn on the television,____,____,kui tian si gi ,1,M,,,,,,,,,,,,,,,,,,,
10,Turn down TV volume,____,____,gue gah sue sia ,1,M,,,,,,,,,,,,,,,,,,,
11,Turn up TV volume,____,____,kui gah tua sia ,1,M,,,,,,,,,,,,,,,,,,,
12,Change channel v1,___,______,gah ua kui tei  pue bo ,1,M,,,,,,,,,,,,,,,,,,,
13,Change channel v2,___,______,gah ua dzuan tei  pue bo ,1,M,,,,,,,,,,,,,,,,,,,
14,Mute television v1,____,__,gim sia ,1,M,,,,,,,,,,,,,,,,,,,
15,Mute television v2,____,___,sia gim tiau,1,M,,,,,,,,,,,,,,,,,,,
16,Unmute television,,__,kui sia ,1,M,,,,,,,,,,,,,,,,,,,
17,Turn off the television,____,____,gue tian si gi ,1,M,,,,,,,,,,,,,,,,,,,
18,Switch on the fan,___,___,kui hohng si ,1,M,,,,,,,,,,,,,,,,,,,
19,Switch off the fan,___,___,gue hohng si ,1,M,,,,,,,,,,,,,,,,,,,
20,Swing fan,_____,______,hohng si kui hoh i dzuan ,1,M,,,,,,,,,,,,,,,,,,,
21,stop fan swing,____,_______,hohng si mai hoh i dzuan ,1,M,,,,,,,,,,,,,,,,,,,
22,Increase fan speed,_______,_____,hohng si kui gah tua ,1,M,,,,,,,,,,,,,,,,,,,
23,Decrease fan speed,_______,_____,hohng si gue gah sue ,1,M,,,,,,,,,,,,,,,,,,,
24,Switch on the air-con,____,___,kui leing khi ,2,F,,,,,,,,,,,,,,,,,,,
25,Turn up air-con temperature,______,_______,leing khi gue gah sue tahm po ,2,F,,,,,,,,,,,,,,,,,,,
26,Turn down air-con temperature,______,_______,leing khi kui gah leing tahm po ,2,F,,,,,,,,,,,,,,,,,,,
27,Switch off the air-con,____,____,gue tiau leing khi ,2,F,,,,,,,,,,,,,,,,,,,
28,Turn on the radio v1,_____,____,kui siu ing gi ,2,F,,,,,,,,,,,,,,,,,,,
29,Turn up the volume on radio v1,____,_______,siu ing gi kui gah tua sia ,2,F,,,,,,,,,,,,,,,,,,,
30,Turn down the volume on radio v1,____,_______,siu ing gi gue gah sue sia ,2,F,,,,,,,,,,,,,,,,,,,
31,Turn off the radio v1,_____,_____,gue tiau siu ing gi ,2,F,,,,,,,,,,,,,,,,,,,
32,Call for water,___,____,ua ai lim tshui ,2,F,,,,,,,,,,,,,,,,,,,
33,Call for food,____,___,ua ai tsiaq ,2,F,,,,,,,,,,,,,,,,,,,
34,Call for a snack,____,_____,ua ai tsiaq tiam sim ,2,F,,,,,,,,,,,,,,,,,,,
35,Call for dessert,____,_____,ua ai tsiaq tuhng tshui ,2,F,,,,,,,,,,,,,,,,,,,
36,Open the door,__,__,kui muhng ,3,M,,,,,,,,,,,,,,,,,,,
37,Close the door,__,__,gue muhng ,3,M,,,,,,,,,,,,,,,,,,,
38,Lock the door,__,__,so muhng ,3,M,,,,,,,,,,,,,,,,,,,
39,Open the window,__,___,kui tahng ah ,3,M,,,,,,,,,,,,,,,,,,,
40,Close the window a little,____,_____,gue tahng ah tahm po ,3,M,,,,,,,,,,,,,,,,,,,
41,Close the window completely,__,_____,tahng ah long tsong gue,3,M,,,,,,,,,,,,,,,,,,,
42,Lock the windows,__,___,so tahng ah ,3,M,,,,,,,,,,,,,,,,,,,
43,Close the fridge,___,___,gue suhng tu ,3,M,,,,,,,,,,,,,,,,,,,
44,Switch off the fire/gas,_____,___,gue mui khi ,3,M,,,,,,,,,,,,,,,,,,,
45,Switch off the oven,___,____,gim mui khi loh ,3,M,,,,,,,,,,,,,,,,,,,
46,Switch on the heater,___,____,kui sio tshui loh ,3,M,,,,,,,,,,,,,,,,,,,
47,Switch off the heater,___,____,gue sio tshui loh ,3,M,,,,,,,,,,,,,,,,,,,
48,Boil water,__,__,hia tshui ,3,M,,,,,,,,,,,,,,,,,,,
49,Make ice,___,__ ,dzo suhng  ,3,M,,,,,,,,,,,,,,,,,,,
50,Open the curtains,____ ,____,kui tahng ah boh ,3,M,,,,,,,,,,,,,,,,,,,
51,Draw the curtains,____,____,gue tahng ah boh,3,M,,,,,,,,,,,,,,,,,,,
52,Open the curtains a little,_____,______,tahng ah boh kui tahm po ,3,M,,,,,,,,,,,,,,,,,,,
53,Dial emergency number,______,_____999,kah 999,3,M,,,,,,,,,,,,,,,,,,,
54,Call Home,_____,__________,kah tian ue hoh tsu lai ,3,M,,,,,,,,,,,,,,,,,,,
55,Redial last number,____,________,goh kah tsit bai ,3,M,,,,,,,,,,,,,,,,,,,
56,Play music,___,_____,ua ai tia tshiu gua ,4,F,,,,,,,,,,,,,,,,,,,
57,Charge phone,_____,_______,tshiu tian ue gia ki tsahq tian ,4,F,,,,,,,,,,,,,,,,,,,
58,Set an alarm for for 7am,7____,____________,tsong hiq lei si tseing mia dzai dzah khiq tshit tiam hiang ,4,F,,,,,,,,,,,,,,,,,,,
59,Snooze/switch off alarm,____,______,si tseing hiang liau gue tiau,4,F,,,,,,,,,,,,,,,,,,,
60,Wake me up in 2 hours,_______,________,neng tiam dzeing au kio ua khi lai,4,F,,,,,,,,,,,,,,,,,,,
61,Show the date,____,_____, gin lit gui ho _,4,F,,,,,,,,,,,,,,,,,,,
62,Show the time,____,_____,dzit dzun gui tiam _,4,F,,,,,,,,,,,,,,,,,,,
63,Call the ambulance,_____,__________,kah ahng tsahp ti tsia lai ,4,F,,,,,,,,,,,,,,,,,,,
64,Call the police,__,___________,kah tian ue kio mah tah lai ,4,F,,,,,,,,,,,,,,,,,,,
65,Call the firefighters,_____,___________,kah tian kio pah hue tsia lai ,4,F,,,,,,,,,,,,,,,,,,,
66,Report a break-in,_____,__________,kah tian bo mah tah lai,4,F,,,,,,,,,,,,,,,,,,,
67,Xiao Ming stands between dad and mom.,__________,_________,siau ming kia lau pei lau bu tioong em ,5,F,,,,,,,,,,,,,,,,,,,
68,"Strange, my keys disappeared",____________,____________,gi guai _gua ei so si ahn dzua bo ki liau ,5,F,,,,,,,,,,,,,,,,,,,
69,My brother ate two bowls of rice.,_______,_______,tua hia tsiaq liau neng ua buhng ,5,F,,,,,,,,,,,,,,,,,,,
70,I need some time to think.,__________,__________,gua ai tahm po si tseing siung tsi bahn nia ,5,F,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
72,Check my voicemail,______,,,,,,,,,,,,,,,,,,,,,,,
73,Pause music,____,,,,,,,,,,,,,,,,,,,,,,,
74,Skip track,____,,,,,,,,,,,,,,,,,,,,,,,
75,Switch on the sprinklers/There's a fire!,___,,,,,,,,,,,,,,,,,,,,,,,
76,Turn on wifi,___,,,,,,,,,,,,,,,,,,,,,,,
77,Turn off wifi,___,,,,,,,,,,,,,,,,,,,,,,,
78,Record this television program,____,,,,,,,,,,,,,,,,,,,,,,,
79,Turn on the radio v2,_____,_ {radio},,2,F,,,,,,,,,,,,,,,,,,,
80,Turn up the volume on radio v2,____,{radio} ____,,2,F,,,,,,,,,,,,,,,,,,,
81,Turn down the volume on radio v2,____,{radio} ____,,2,F,,,,,,,,,,,,,,,,,,,
82,Turn off the radio v2,_____,__ {radio},,2,F,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
